"","Ref","LDA","PBE","RPBE","vdW-DF2","BEEF-vdW","mBEEF","mBEEF-vdW"
"H/Sc",0.64,0.37,0.51,0.57,0.37,0.54,0.38,0.42
"H/Ti",0.6,0.36,0.54,0.63,0.52,0.58,0.47,0.42
"H/V",0.75,0.36,0.6,0.72,0.62,0.67,0.58,0.45
"H/Cr",0.79,0.28,0.57,0.7,0.67,0.69,0.56,0.44
"H/Mn",0.64,0.09,0.41,0.55,0.58,0.56,0.44,0.3
"H/Fe",0.73,0.07,0.37,0.52,0.41,0.54,0.47,0.38
"H/Co",0.63,-0.03,0.35,0.51,0.49,0.53,0.37,0.22
"H/Ni",0.43,-0.17,0.2,0.36,0.37,0.38,0.46,0.43
"H/Cu",0.73,0.42,0.77,0.92,1,1,0.83,0.72
"H/Y",0.6,0.39,0.5,0.55,0.37,0.53,0.33,0.38
"H/Zr",0.66,0.39,0.56,0.63,0.5,0.58,0.46,0.46
"H/Nb",0.66,0.27,0.5,0.6,0.51,0.56,0.44,0.4
"H/Mo",0.6,0.19,0.45,0.57,0.54,0.58,0.44,0.36
"H/Ru",0.22,-0.14,0.2,0.34,0.41,0.38,0.3,0.2
"H/Rh",0.08,-0.45,-0.08,0.08,0.18,0.12,-0.08,-0.18
"H/Pd",-0.08,-0.44,-0.04,0.13,0.23,0.23,-0.06,-0.17
"H/Ag",1.13,0.68,1.04,1.2,1.25,1.28,1.12,1.03
"H/Hf",0.62,0.34,0.51,0.59,0.48,0.53,0.42,0.41
"H/Ta",0.77,0.33,0.57,0.68,0.57,0.63,0.53,0.48
"H/W",0.49,0.13,0.39,0.51,0.49,0.53,0.33,0.26
"H/Re",0.34,-0.09,0.2,0.33,0.37,0.31,0.18,0.09
"H/Os",-0.11,-0.41,-0.1,0.03,0.16,0.09,-0.14,-0.23
"H/Ir",-0.45,-0.81,-0.46,-0.32,-0.16,-0.24,-0.55,-0.64
"H/Pt",-0.46,-0.84,-0.46,-0.31,-0.13,-0.19,-0.59,-0.69
"H/Au",0.62,0.21,0.6,0.76,0.88,0.86,0.56,0.45
"O/Sc",-1.67,-2.4,-1.93,-1.71,-2.3,-1.87,-1.99,-1.86
"O/Ti",-2.23,-2.88,-2.39,-2.16,-2.58,-2.36,-2.49,-2.48
"O/V",-2.48,-3.22,-2.5,-2.16,-2.61,-2.38,-2.57,-2.66
"O/Cr",-1.39,-2.32,-1.62,-1.31,-1.67,-1.46,-1.66,-1.77
"O/Mn",-0.81,-1.84,-1.05,-0.7,-1.04,-0.87,-1,-1.16
"O/Fe",-0.27,-1.4,-0.62,-0.29,-0.87,-0.39,-0.19,-0.29
"O/Co",0.17,-0.7,-0.03,0.28,-0.2,0.15,0.07,-0.11
"O/Ni",0.47,-0.16,0.4,0.66,0.24,0.49,0.41,0.23
"O/Cu",0.94,0.88,1.29,1.52,1.04,1.4,1.6,1.5
"O/Y",-1.76,-2.31,-1.94,-1.78,-2.23,-1.86,-2.07,-1.93
"O/Zr",-2.5,-3.06,-2.56,-2.34,-2.77,-2.54,-2.67,-2.62
"O/Nb",-2.87,-3.48,-2.89,-2.63,-3.01,-2.84,-3.02,-3.04
"O/Mo",-2.27,-2.94,-2.28,-2,-2.32,-2.17,-2.36,-2.45
"O/Ru",-0.58,-1.23,-0.58,-0.3,-0.56,-0.41,-0.48,-0.6
"O/Rh",-0.24,-0.85,-0.21,0.07,-0.17,0.01,-0.03,-0.12
"O/Pd",0.4,0.12,0.64,0.89,0.55,0.84,0.84,0.73
"O/Ag",1.72,1.79,2.05,2.2,1.7,2.12,2.41,2.36
"O/Hf",-2.15,-2.69,-2.18,-1.95,-2.43,-2.11,-2.34,-2.34
"O/Ta",-2.63,-3.23,-2.61,-2.34,-2.76,-2.52,-2.74,-2.8
"O/W",-2.5,-3.1,-2.43,-2.15,-2.44,-2.3,-2.58,-2.68
"O/Re",-1.62,-2.28,-1.59,-1.3,-1.51,-1.45,-1.67,-1.79
"O/Os",-1.04,-1.58,-0.92,-0.64,-0.8,-0.73,-0.96,-1.07
"O/Ir",-0.8,-1.48,-0.84,-0.58,-0.75,-0.62,-0.81,-0.93
"O/Pt",0.02,-0.48,0.09,0.35,0.12,0.27,0.17,0.07
"O/Au",1.73,1.64,1.97,2.14,1.73,2.08,2.23,2.14
"N/Sc",3.32,2.88,3.1,3.24,2.79,3.17,3.33,3.36
"N/Ti",2.57,1.97,2.32,2.49,2.23,2.38,2.47,2.41
"N/V",2.1,1.14,1.72,2,1.78,1.87,1.83,1.7
"N/Cr",2.19,1.07,1.7,1.99,1.88,1.86,1.72,1.55
"N/Mn",2.3,1.06,1.82,2.15,2.08,2.03,1.93,1.74
"N/Co",2.68,1.72,2.33,2.61,2.36,2.54,2.78,2.62
"N/Ni",3.08,2.28,2.82,3.09,2.91,3.03,3.37,3.25
"N/Cu",3.8,3.58,3.97,4.18,3.98,4.15,4.31,4.11
"N/Y",3.41,3.11,3.3,3.39,3.05,3.38,3.49,3.56
"N/Zr",2.73,1.95,2.33,2.51,2.29,2.39,2.45,2.45
"N/Nb",1.75,0.92,1.43,1.65,1.51,1.52,1.43,1.38
"N/Mo",1.5,0.64,1.22,1.46,1.39,1.34,1.23,1.12
"N/Ru",2.23,1.4,2.04,2.31,2.33,2.25,2.12,1.94
"N/Rh",2.44,1.67,2.32,2.61,2.67,2.6,2.45,2.29
"N/Pd",3.04,2.61,3.15,3.4,3.34,3.44,3.4,3.23
"N/Ag",4.96,4.8,5.07,5.22,4.94,5.21,5.49,5.35
"N/Hf",2.66,2.22,2.56,2.73,2.43,2.65,2.64,2.59
"N/Ta",2.1,1.34,1.85,2.07,1.87,1.97,1.84,1.72
"N/W",1.5,0.76,1.34,1.58,1.53,1.52,1.23,1.08
"N/Re",1.81,0.97,1.63,1.89,1.94,1.79,1.51,1.34
"N/Os",1.86,1.25,1.89,2.14,2.3,2.12,1.76,1.58
"N/Ir",2.26,1.39,2,2.26,2.37,2.26,1.97,1.78
"N/Pt",2.58,1.99,2.56,2.81,2.87,2.85,2.64,2.46
"N/Au",4.61,4.42,4.76,4.93,4.76,4.96,5.06,4.89
"N2/Sc",-0.18,-1.01,-0.51,-0.26,-0.61,-0.51,-0.53,-0.62
"N2/Ti",-0.2,-1.06,-0.37,-0.02,-0.34,-0.32,-0.41,-0.64
"N2/V",-0.18,-1.13,-0.25,0.18,-0.12,-0.14,-0.26,-0.58
"N2/Cr",0.39,-0.88,0.16,0.66,0.41,0.33,0.17,-0.21
"N2/Mn",0.74,-0.63,0.5,1.04,0.83,0.7,0.55,0.1
"N2/Fe",0.91,-1.02,0.41,1.04,0.58,0.75,0.78,0.37
"N2/Co",1.12,-0.27,0.95,1.52,1.2,1.17,1.19,0.74
"N2/Ni",1.04,-0.04,1.04,1.57,1.32,1.21,1.01,0.6
"N2/Cu",0.83,0.03,1,1.48,1.2,1.15,1.01,0.65
"N2/Y",-0.2,-0.91,-0.51,-0.32,-0.6,-0.53,-0.52,-0.59
"N2/Zr",-0.24,-0.98,-0.43,-0.16,-0.45,-0.43,-0.46,-0.62
"N2/Nb",-0.45,-1.26,-0.56,-0.22,-0.48,-0.49,-0.59,-0.83
"N2/Mo",-0.3,-1.18,-0.35,0.05,-0.18,-0.23,-0.37,-0.68
"N2/Ru",0.06,-0.91,0.06,0.51,0.32,0.25,0.02,-0.36
"N2/Rh",0.21,-0.76,0.21,0.67,0.5,0.42,0.12,-0.23
"N2/Pd",0.27,-0.5,0.37,0.79,0.55,0.52,0.35,0.06
"N2/Ag",0.14,0.04,0.31,0.45,0.15,0.22,0.12,0.09
"N2/Hf",-0.12,-1.01,-0.44,-0.16,-0.43,-0.46,-0.48,-0.64
"N2/W",-0.38,-1.34,-0.51,-0.11,-0.3,-0.4,-0.53,-0.83
"N2/Re",-0.22,-1.22,-0.31,0.13,-0.03,-0.16,-0.33,-0.66
"N2/Os",-0.04,-1.03,-0.05,0.41,0.31,0.13,-0.13,-0.47
"N2/Ir",0.19,-0.89,0.11,0.57,0.5,0.34,0,-0.33
"N2/Pt",0.48,-0.54,0.43,0.87,0.78,0.63,0.36,0.05
"N2/Au",0.1,0.03,0.31,0.44,0.14,0.21,0.11,0.08
"CO/Sc",-0.61,-1.48,-0.97,-0.71,-0.94,-0.89,-0.94,-1.1
"CO/Ti",-0.81,-1.68,-1,-0.66,-0.8,-0.9,-1.04,-1.32
"CO/V",-0.85,-1.87,-1.01,-0.58,-0.68,-0.84,-1.03,-1.39
"CO/Cr",-0.38,-1.75,-0.74,-0.25,-0.27,-0.5,-0.77,-1.17
"CO/Mn",-0.21,-1.61,-0.5,0.03,0.06,-0.22,-0.5,-0.95
"CO/Fe",0,-2.01,-0.64,-0.03,-0.23,-0.25,-0.28,-0.69
"CO/Co",0.04,-1.43,-0.21,0.35,0.27,0.09,0.01,-0.42
"CO/Ni",0.34,-1.12,0.05,0.59,0.6,0.34,0.07,-0.33
"CO/Cu",0.2,-0.74,0.26,0.75,0.72,0.52,0.29,-0.1
"CO/Y",-0.6,-1.35,-0.93,-0.72,-0.91,-0.87,-0.88,-1.02
"CO/Zr",-0.7,-1.55,-0.99,-0.71,-0.84,-0.92,-0.98,-1.19
"CO/Nb",-1.14,-1.98,-1.29,-0.95,-1.02,-1.16,-1.32,-1.6
"CO/Mo",-1.11,-2.05,-1.22,-0.82,-0.83,-1.03,-1.26,-1.59
"CO/Ru",-0.92,-2.03,-1.02,-0.56,-0.47,-0.73,-1.08,-1.47
"CO/Rh",-0.94,-2.06,-1,-0.52,-0.37,-0.65,-1.1,-1.45
"CO/Pd",-0.67,-1.7,-0.68,-0.21,-0.12,-0.34,-0.7,-1.04
"CO/Ag",0.13,-0.71,0.02,0.38,0.25,0.18,0.06,-0.23
"CO/Hf",-0.75,-1.62,-1.05,-0.77,-0.87,-1,-1.06,-1.27
"CO/Ta",-1.11,-2.05,-1.34,-0.99,-1.06,-1.22,-1.36,-1.65
"CO/W",-1.22,-2.24,-1.41,-1.02,-1,-1.26,-1.48,-1.81
"CO/Re",-1.21,-2.24,-1.33,-0.9,-0.8,-1.11,-1.41,-1.77
"CO/Os",-1.14,-2.21,-1.22,-0.76,-0.59,-0.95,-1.38,-1.73
"CO/Ir",-1.13,-2.28,-1.24,-0.77,-0.56,-0.9,-1.43,-1.76
"CO/Pt",-0.87,-2,-0.95,-0.48,-0.25,-0.58,-1.1,-1.42
"CO/Au",0.22,-0.71,0.1,0.49,0.47,0.32,0.08,-0.24
"NO/Sc",-1.62,-2.7,-2.04,-1.81,-2.03,-1.93,-1.86,-1.9
"NO/Ti",-1.97,-3.14,-2.29,-1.98,-2.16,-2.16,-2.2,-2.36
"NO/V",-2,-3.37,-2.3,-1.88,-2.07,-2.1,-2.18,-2.43
"NO/Cr",-1.41,-3.21,-1.97,-1.48,-1.63,-1.72,-1.92,-2.25
"NO/Mn",-0.99,-2.87,-1.5,-0.96,-1.06,-1.19,-1.33,-1.68
"NO/Co",-0.65,-2.33,-1.03,-0.53,-0.71,-0.8,-0.8,-1.16
"NO/Ni",-0.41,-1.98,-0.76,-0.28,-0.48,-0.53,-0.62,-0.93
"NO/Cu",-0.31,-1.58,-0.54,-0.12,-0.38,-0.39,-0.35,-0.61
"NO/Y",-1.34,-2.37,-1.78,-1.6,-1.78,-1.67,-1.57,-1.59
"NO/Zr",-1.69,-2.81,-2.08,-1.83,-1.98,-2,-1.94,-2.04
"NO/Nb",-1.93,-3.24,-2.34,-2.01,-2.12,-2.19,-2.26,-2.44
"NO/Mo",-1.96,-3.4,-2.34,-1.95,-1.99,-2.1,-2.3,-2.54
"NO/Ru",-1.22,-2.75,-1.55,-1.1,-1.1,-1.26,-1.48,-1.77
"NO/Rh",-0.78,-2.34,-1.15,-0.71,-0.7,-0.82,-1.01,-1.26
"NO/Pd",-0.58,-1.83,-0.8,-0.4,-0.51,-0.54,-0.6,-0.8
"NO/Ag",-0.06,-1.03,-0.37,-0.13,-0.45,-0.35,-0.17,-0.28
"NO/Hf",-1.75,-2.89,-2.15,-1.89,-2.02,-2.05,-2.03,-2.13
"NO/Ta",-1.96,-3.3,-2.38,-2.05,-2.16,-2.24,-2.29,-2.48
"NO/W",-2.03,-3.48,-2.42,-2.04,-2.05,-2.22,-2.43,-2.67
"NO/Re",-1.56,-3.1,-1.94,-1.52,-1.47,-1.68,-1.94,-2.21
"NO/Os",-1.43,-2.83,-1.62,-1.18,-1.04,-1.3,-1.66,-1.93
"NO/Ir",-0.83,-2.45,-1.25,-0.82,-0.72,-0.92,-1.22,-1.47
"NO/Pt",-0.42,-1.85,-0.73,-0.32,-0.29,-0.42,-0.61,-0.83
"NO/Au",-0.04,-0.72,-0.33,-0.24,-0.49,-0.35,-0.21,-0.17
"CH/Sc",3.7,4.11,3.96,3.93,3.4,3.66,4.06,4.03
"CH/Ti",3.08,3.45,3.43,3.44,3.06,3.18,3.47,3.35
"CH/V",2.93,3.05,3.19,3.27,2.96,3.01,3.26,3.08
"CH/Cr",3.34,3.05,3.31,3.43,3.21,3.17,3.33,3.13
"CH/Mn",3.59,3.22,3.56,3.72,3.56,3.49,3.71,3.51
"CH/Fe",3.6,3,3.53,3.74,3.33,3.55,4.08,3.96
"CH/Co",3.71,3.37,3.73,3.89,3.61,3.68,4.13,3.94
"CH/Ni",3.96,3.72,4.01,4.14,3.94,3.94,4.29,4.06
"CH/Cu",4.22,4.43,4.59,4.68,4.43,4.44,4.76,4.58
"CH/Y",4.07,4.54,4.34,4.26,3.73,4.01,4.43,4.44
"CH/Nb",3,3.2,3.26,3.29,2.97,3.02,3.29,3.18
"CH/Mo",2.86,2.88,3.07,3.16,2.93,2.91,3.09,2.94
"CH/Ru",3.39,3.25,3.56,3.68,3.55,3.49,3.66,3.47
"CH/Rh",3.44,3.28,3.62,3.77,3.7,3.64,3.75,3.59
"CH/Pd",3.91,3.95,4.24,4.37,4.21,4.25,4.44,4.27
"CH/Ag",5.08,5.37,5.4,5.43,5.04,5.18,5.63,5.5
"CH/Hf",3.32,3.71,3.64,3.63,3.22,3.34,3.69,3.61
"CH/Ta",2.98,3.15,3.22,3.27,2.94,2.99,3.25,3.12
"CH/W",2.78,2.81,3.01,3.09,2.88,2.83,2.94,2.77
"CH/Re",3.1,3.07,3.34,3.45,3.34,3.23,3.29,3.11
"CH/Os",3.04,3.08,3.39,3.5,3.48,3.34,3.33,3.15
"CH/Ir",3.21,3.07,3.39,3.52,3.49,3.4,3.41,3.24
"CH/Pt",3.51,3.52,3.84,3.98,3.93,3.88,3.93,3.77
"CH/Au",5.08,5.26,5.39,5.46,5.17,5.25,5.59,5.44
"OH/Sc",-1.31,-1.6,-1.31,-1.14,-1.65,-1.42,-1.49,-1.47
"OH/Ti",-1.08,-1.33,-0.96,-0.76,-1.19,-1.03,-1.19,-1.28
"OH/V",-0.26,-0.78,-0.24,0.04,-0.46,-0.28,-0.36,-0.51
"OH/Cr",0.81,0.01,0.61,0.91,0.42,0.62,0.48,0.27
"OH/Mn",1.24,0.46,1.12,1.44,0.98,1.15,1.14,0.95
"OH/Fe",1.53,0.47,1.17,1.5,0.92,1.25,1.26,1.07
"OH/Ni",2,1.52,2.02,2.29,1.83,2,2.02,1.85
"OH/Cu",2.16,1.78,2.2,2.44,1.95,2.13,2.24,2.12
"OH/Y",-1.43,-1.59,-1.37,-1.25,-1.69,-1.51,-1.58,-1.55
"OH/Zr",-1.34,-1.5,-1.17,-1,-1.44,-1.29,-1.39,-1.43
"OH/Nb",-0.8,-1.13,-0.7,-0.48,-0.91,-0.77,-0.86,-0.97
"OH/Mo",-0.07,-0.5,0,0.24,-0.16,0.01,-0.12,-0.26
"OH/Ru",1.15,0.62,1.16,1.43,1.04,1.21,1.21,1.04
"OH/Rh",1.51,1,1.51,1.77,1.38,1.57,1.54,1.39
"OH/Pd",2.01,1.67,2.08,2.3,1.87,2.1,2.15,2.03
"OH/Ag",2.22,2,2.24,2.38,1.89,2.1,2.27,2.22
"OH/Hf",-1.32,-1.53,-1.19,-1.01,-1.45,-1.31,-1.4,-1.45
"OH/Ta",-0.72,-1.15,-0.69,-0.47,-0.9,-0.74,-0.83,-0.95
"OH/W",-0.21,-0.66,-0.15,0.09,-0.29,-0.15,-0.27,-0.42
"OH/Re",0.38,-0.14,0.41,0.67,0.31,0.42,0.35,0.19
"OH/Os",0.83,0.33,0.89,1.16,0.84,0.99,0.87,0.7
"OH/Ir",1.28,0.68,1.23,1.49,1.15,1.3,1.21,1.05
"OH/Pt",2.06,1.52,2.02,2.26,1.9,2.05,2.03,1.89
"OH/Au",2.63,2.39,2.63,2.78,2.29,2.49,2.72,2.65
